"groupRef","entryRef","entryDistribution","groupTier","priority"
"","Survival_Items",2,0,0
"","augments",1,0,0
"","blank",0,0,0
"","",0,0,0
"POI_High","",0,3,300
"","Weapon_High",50,0,0
"","Health_High",30,0,0
"","",0,0,0
"POI_Ultra","",0,3,300
"","Backpack_3",13,0,0
"","Backpack_2",7,0,0
"","Weapon_High",30,0,0
"","Health_High",20,0,0
"","augments",10,0,0
"","",0,0,0
"POI_OctaneTT","",0,0,300
"","corrupted_attachments",2,0,0
"","Attachment_L3",25,0,0
"","backpack_pickup_lv3",10,0,0
"","gold_weapons",1,0,0
"","augments",10,0,0
"","",0,0,0
"Zone_HotZone","",0,3,200
"","Weapon_Medium",28,0,0
"","ammo",8,0,0
"","Health_High",14,0,0
"","ordnance",8,0,0
"","Attachment_High",14.65,0,0
"","Helmet_High",3,0,0
"","Backpack_High",1.2,0,0
"","Incapshield_High",2,0,0
"","Survival_Items",2,0,0
"","augments",1,0,0
"","blank",9.2,0,0
"","",0,0,0
"POI_HotZone_Weapon","",0,3,400
"","Attachment_L4",20,0,0
"","gold_weapons",80,0,0
"","",0,0,0
"POI_HotZone_Item","",0,3,400
"","armor_pickup_lv3_evolving",5,0,0
"","helmet_pickup_lv3",5,0,0
"","backpack_pickup_lv3",5,0,0
"","incapshield_pickup_lv3",5,0,0
"","armor_pickup_lv4_all_fast",16,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","backpack_pickup_lv4_revive_boost",10,0,0
"","incapshield_pickup_lv4_selfrevive",24,0,0
"","",0,0,0
"POI_HotZone_Attachments","",0,3,400
"","bullets_mag_l3",8,0,0
"","bullets_mag_l4",5,0,0
"","highcal_mag_l3",8,0,0
"","highcal_mag_l4",5,0,0
"","energy_mag_l3",8,0,0
"","energy_mag_l4",5,0,0
"","sniper_mag_l3",8,0,0
"","sniper_mag_l4",3,0,0
"","shotgun_bolt_l3",8,0,0
"","shotgun_bolt_l4",5,0,0
"","stock_tactical_l3",8,0,0
"","stock_sniper_l3",8,0,0
"","stock_sniper_l4",5,0,0
"","barrel_stabilizer_l3",5,0,0
"","laser_sight_l3",8,0,0
"","Hopup_Purple",0,0,0
"","Hopup_Gold",4,0,0
"","optic_ranged_hcog",6,0,0
"","optic_ranged_aog_variable",5,0,0
"","",0,0,0
"Building_Shack_Ultra_Low","",0,0,0
// entry disabled in survival_loot: "","health_1",10,0,0
"","ammo",10,0,0
"","ordnance",10,0,0
"","optic_cq_hcog_classic",4,0,0
"","optic_cq_holosight",0,0,0
"","Attachment_Low",4,0,0
"","mp_weapon_semipistol",3,0,0
"","mp_weapon_alternator_smg",4,0,0
"","mp_weapon_shotgun",3,0,0
"","mp_weapon_autopistol_fusion",4,0,0
"","mp_weapon_shotgun_pistol",4,0,0
"","health_pickup_ultimate",6,0,0
"","Zone_Low",10,0,0
"","blank",24,0,0
"","",0,0,0
"crate_weapons_earlygame","",0,3,0
"","mp_weapon_3030_crate",35,0,0
"","mp_weapon_sniper",10,0,0
"","mp_weapon_lstar_crate",35,0,0
"","",0,0,0
"crate_weapons_midgame","",0,3,0
"","mp_weapon_3030_crate",25,0,0
"","mp_weapon_sniper",25,0,0
"","mp_weapon_lstar_crate",25,0,0
"","",0,0,0
"crate_weapons_lategame","",0,3,0
"","mp_weapon_3030_crate",25,0,0
"","mp_weapon_sniper",25,0,0
"","mp_weapon_lstar_crate",25,0,0
"","",0,0,0
"crate_weapons_sword","",0,0,0
"","mp_weapon_titan_sword",100,0,0
"","",0,0,0
"crate_jackpot_items","",0,3,0
"","mp_pickup_xp_cache_dynamic",10,0,0
"","top_tier_inventory",3,0,0
"","top_tier_health",100,0,0
"","",0,0,0
"white_kitted_weapons","",0,3,0
"","mp_weapon_wingman_whiteset",7,0,0
"","mp_weapon_semipistol_akimbo_whiteset",7,0,0
"","mp_weapon_autopistol_fusion_whiteset",7,0,0
"","mp_weapon_shotgun_pistol_akimbo_whiteset",7,0,0
"","mp_weapon_shotgun_whiteset",7,0,0
"","mp_weapon_alternator_smg_whiteset",7,0,0
"","mp_weapon_g2_whiteset",7,0,0
"","mp_weapon_energy_shotgun_whiteset",7,0,0
"","mp_weapon_mastiff_whiteset",7,0,0
"","mp_weapon_r97_whiteset",7,0,0
"","mp_weapon_pdw_whiteset",7,0,0
"","mp_weapon_vinson_whiteset",7,0,0
"","mp_weapon_auto_hemlok_whiteset",7,0,0
"","mp_weapon_rspn101_whiteset",7,0,0
"","mp_weapon_energy_ar_whiteset",7,0,0
"","mp_weapon_esaw_whiteset",7,0,0
"","mp_weapon_lmg_whiteset",7,0,0
"","mp_weapon_dmr_whiteset",7,0,0
"","mp_weapon_doubletake_whiteset",7,0,0
"","mp_weapon_sentinel_whiteset",7,0,0
"","mp_weapon_defender_whiteset",7,0,0
"","mp_weapon_volt_smg_whiteset",7,0,0
"","mp_weapon_bow_whiteset",7,0,0
"","mp_weapon_nemesis_whiteset",7,0,0
"","mp_weapon_dragon_lmg_whiteset",7,0,0
"","mp_weapon_car_whiteset",7,0,0
"","",0,0,0
"blue_kitted_weapons","",0,3,0
"","mp_weapon_wingman_blueset",7,0,0
"","mp_weapon_semipistol_akimbo_blueset",7,0,0
"","mp_weapon_autopistol_fusion_blueset",7,0,0
"","mp_weapon_shotgun_pistol_akimbo_blueset",7,0,0
"","mp_weapon_shotgun_blueset",7,0,0
"","mp_weapon_alternator_smg_blueset",7,0,0
"","mp_weapon_g2_blueset",7,0,0
"","mp_weapon_energy_shotgun_blueset",7,0,0
"","mp_weapon_mastiff_blueset",7,0,0
"","mp_weapon_r97_blueset",7,0,0
"","mp_weapon_pdw_blueset",7,0,0
"","mp_weapon_vinson_blueset",7,0,0
"","mp_weapon_auto_hemlok_blueset",7,0,0
"","mp_weapon_rspn101_blueset",7,0,0
"","mp_weapon_energy_ar_blueset",7,0,0
"","mp_weapon_esaw_blueset",7,0,0
"","mp_weapon_lmg_blueset",7,0,0
"","mp_weapon_dmr_blueset",7,0,0
"","mp_weapon_doubletake_blueset",7,0,0
"","mp_weapon_sentinel_blueset",7,0,0
"","mp_weapon_defender_blueset",7,0,0
"","mp_weapon_volt_smg_blueset",7,0,0
"","mp_weapon_bow_blueset",7,0,0
"","mp_weapon_nemesis_blueset",7,0,0
"","mp_weapon_dragon_lmg_blueset",7,0,0
"","mp_weapon_car_blueset",7,0,0
"","",0,0,0
"purple_kitted_weapons","",0,3,0
"","mp_weapon_wingman_purpleset",7,0,0
"","mp_weapon_semipistol_akimbo_purpleset",7,0,0
"","mp_weapon_autopistol_fusion_purpleset",7,0,0
"","mp_weapon_shotgun_pistol_akimbo_purpleset",7,0,0
"","mp_weapon_shotgun_purpleset",7,0,0
"","mp_weapon_alternator_smg_purpleset",7,0,0
"","mp_weapon_g2_purpleset",7,0,0
"","mp_weapon_energy_shotgun_purpleset",7,0,0
"","mp_weapon_mastiff_purpleset",7,0,0
"","mp_weapon_r97_purpleset",7,0,0
"","mp_weapon_pdw_purpleset",7,0,0
"","mp_weapon_vinson_purpleset",7,0,0
"","mp_weapon_auto_hemlok_purpleset",7,0,0
"","mp_weapon_rspn101_purpleset",7,0,0
"","mp_weapon_energy_ar_purpleset",7,0,0
"","mp_weapon_esaw_purpleset",7,0,0
"","mp_weapon_lmg_purpleset",7,0,0
"","mp_weapon_dmr_purpleset",7,0,0
"","mp_weapon_doubletake_purpleset",7,0,0
"","mp_weapon_sentinel_purpleset",7,0,0
"","mp_weapon_defender_purpleset",7,0,0
"","mp_weapon_volt_smg_purpleset",7,0,0
"","mp_weapon_bow_purpleset",7,0,0
"","mp_weapon_nemesis_purpleset",7,0,0
"","mp_weapon_dragon_lmg_purpleset",7,0,0
"","mp_weapon_car_purpleset",7,0,0
"","",0,0,0
"gold_weapons","",0,3,0
"","gold_kitted_weapons",100,0,0
"","",0,0,0
"gold_kitted_weapons","",0,3,0
"","mp_weapon_wingman_gold",7,0,0
"","mp_weapon_semipistol_akimbo_gold",7,0,0
"","mp_weapon_autopistol_fusion_gold",7,0,0
"","mp_weapon_shotgun_pistol_akimbo_gold",7,0,0
"","mp_weapon_shotgun_gold",7,0,0
"","mp_weapon_alternator_smg_gold",7,0,0
"","mp_weapon_g2_gold",7,0,0
"","mp_weapon_energy_shotgun_gold",7,0,0
"","mp_weapon_mastiff_gold",7,0,0
"","mp_weapon_r97_gold",7,0,0
"","mp_weapon_pdw_gold",7,0,0
"","mp_weapon_vinson_gold",7,0,0
"","mp_weapon_auto_hemlok_gold",7,0,0
"","mp_weapon_rspn101_gold",7,0,0
"","mp_weapon_energy_ar_gold",7,0,0
"","mp_weapon_esaw_gold",7,0,0
"","mp_weapon_lmg_gold",7,0,0
"","mp_weapon_dmr_gold",7,0,0
"","mp_weapon_doubletake_gold",7,0,0
"","mp_weapon_sentinel_gold",7,0,0
"","mp_weapon_defender_gold",7,0,0
"","mp_weapon_volt_smg_gold",7,0,0
"","mp_weapon_bow_gold",7,0,0
"","mp_weapon_nemesis_gold",7,0,0
"","mp_weapon_dragon_lmg_gold",7,0,0
"","mp_weapon_car_gold",7,0,0
"","",0,0,0
"top_tier_inventory","",0,3,0
"","backpack_pickup_lv3",6,0,0
"","incapshield_pickup_lv3",6,0,0
"","top_tier_health",100,0,0
"","health_pickup_combo_full",6,0,0
"","Hopup_Gold",12,0,0
"","shotgun_bolt_l3",6,0,0
"","highcal_mag_l3",6,0,0
"","energy_mag_l3",6,0,0
"","sniper_mag_l3",4,0,0
"","stock_sniper_l3",6,0,0
"","bullets_mag_l3",6,0,0
"","stock_tactical_l3",6,0,0
"","laser_sight_l3",6,0,0
"","barrel_stabilizer_l3",6,0,0
"","optic_sniper_threat",10,0,0
"","optic_cq_threat",0,0,0
"","optic_ranged_aog_variable",10,0,0
"","optic_sniper_variable",10,0,0
"","mp_ability_void_ring",0,0,0
"","mp_ability_redeploy_balloon",2,0,0
"","",0,0,0
"top_tier_health","",0,3,0
"","health_pickup_combo_full",19,0,0
"","health_pickup_combo_large",33,0,0
"","health_pickup_health_large",33,0,0
"","mp_ability_void_ring",0,0,0
"","mp_ability_redeploy_balloon",15,0,0
"","mp_ability_mobile_respawn_beacon",15,0,0
"","",0,0,0
"Survival_Items","",0,0,0
"","mp_ability_void_ring",0,0,0
"","mp_ability_redeploy_balloon",60,0,0
"","mp_ability_mobile_respawn_beacon",40,0,0
"","",0,0,0
"gold_any","",0,0,0
"","gold_items",60,0,0
"","gold_weapons",40,0,0
"","",0,0,0
"gold_items","",0,0,0
"","armor_pickup_lv4_all_fast",6,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","backpack_pickup_lv4_revive_boost",36,0,0
"","incapshield_pickup_lv4_selfrevive",10,0,0
"","",0,0,0
"Armor_Low","",0,1,0
"","Armor_1",60,0,0
"","Armor_2",22.4,0,0
"","Armor_3",5.6,0,0
"","",0,0,0
"Armor_Medium","",0,2,0
"","Armor_1",47,0,0
"","Armor_2",30.8,0,0
"","Armor_3",6.3,0,0
"","",0,0,0
"Armor_High","",0,3,0
"","Armor_1",38,0,0
"","Armor_2",35,0,0
"","Armor_3",8.4,0,0
"","",0,0,0
"Armor_High_nogold","",0,3,0
"","Armor_1",37,0,0
"","Armor_2",52,0,0
"","Armor_3_nogold",11,0,0
"","",0,0,0
"Armor_3_nogold","",0,3,0
"","armor_pickup_lv3_evolving",100,0,0
"","",0,0,0
"Helmet_Low","",0,1,0
"","Helmet_2",80,0,0
"","Helmet_3",20,0,0
"","",0,0,0
"Helmet_Medium","",0,2,0
"","Helmet_2",79,0,0
"","Helmet_3",21,0,0
"","",0,0,0
"Helmet_High","",0,3,0
"","Helmet_2",77,0,0
"","Helmet_3",23,0,0
"","",0,0,0
"Helmet_High_nogold","",0,3,0
"","Helmet_2",77,0,0
"","Helmet_3_nogold",23,0,0
"","",0,0,0
"Helmet_3_nogold","",0,3,0
"","helmet_pickup_lv3",100,0,0
"","",0,0,0
"Backpack_Low","",0,1,0
"","Backpack_2",94,0,0
"","Backpack_3",6,0,0
"","",0,0,0
"Backpack_Medium","",0,2,0
"","Backpack_2",92,0,0
"","Backpack_3",8,0,0
"","",0,0,0
"Backpack_High","",0,3,0
"","Backpack_2",90,0,0
"","Backpack_3",10,0,0
"","",0,0,0
"Backpack_High_nogold","",0,3,0
"","Backpack_2",82,0,0
"","Backpack_3_nogold",18,0,0
"","",0,0,0
"Backpack_3_nogold","",0,3,0
"","backpack_pickup_lv3",100,0,0
"","",0,0,0
"Incapshield_Low","",0,1,0
"","Incapshield_2",80,0,0
"","Incapshield_3",20,0,0
"","",0,0,0
"Incapshield_Medium","",0,2,0
"","Incapshield_2",79,0,0
"","Incapshield_3",21,0,0
"","",0,0,0
"Incapshield_High","",0,3,0
"","Incapshield_2",77,0,0
"","Incapshield_3",23,0,0
"","",0,0,0
"Incapshield_High_nogold","",0,3,0
"","Incapshield_2",77,0,0
"","Incapshield_3_nogold",23,0,0
"","",0,0,0
"Incapshield_3_nogold","",0,3,0
"","incapshield_pickup_lv3",100,0,0
"","",0,0,0
"Armor_3","",0,3,0
"","armor_pickup_lv3_evolving",99.25,0,0
"","armor_pickup_lv4_all_fast",0.75,0,0
"","",0,0,0
"Armor_2","",0,2,0
"","armor_pickup_lv2_evolving",100,0,0
"","",0,0,0
"Armor_1","",0,1,0
"","armor_pickup_lv1_evolving",100,0,0
"","",0,0,0
"Helmet_3","",0,3,0
"","helmet_pickup_lv3",100,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","",0,0,0
"Helmet_2","",0,2,0
"","helmet_pickup_lv2",100,0,0
"","",0,0,0
"Helmet_1","",0,2,0
"","helmet_pickup_lv1",100,0,0
"","",0,0,0
"Backpack_3","",0,3,0
"","backpack_pickup_lv3",99.25,0,0
"","backpack_pickup_lv4_revive_boost",0.75,0,0
"","",0,0,0
"Backpack_2","",0,2,0
"","backpack_pickup_lv2",100,0,0
"","",0,0,0
"Backpack_1","",0,1,0
"","",0,0,0
"Incapshield_3","",0,3,0
"","incapshield_pickup_lv3",99.25,0,0
"","incapshield_pickup_lv4_selfrevive",0.75,0,0
"","",0,0,0
"Incapshield_2","",0,2,0
"","incapshield_pickup_lv2",100,0,0
"","",0,0,0
"Incapshield_1","",0,2,0
"","incapshield_pickup_lv1",100,0,0
"","",0,0,0
"Weapon_UltraLow","",0,1,0
"","mp_weapon_wingman",0,0,0
"","mp_weapon_semipistol",20,0,0
"","mp_weapon_autopistol_fusion",20,0,0
"","mp_weapon_shotgun_pistol",20,0,0
"","mp_weapon_shotgun",20,0,0
"","mp_weapon_energy_shotgun",0,0,0
"","mp_weapon_mastiff",0,0,0
"","mp_weapon_alternator_smg",20,0,0
"","mp_weapon_r97",0,0,0
"","mp_weapon_pdw",0,0,0
"","mp_weapon_vinson",0,0,0
"","mp_weapon_auto_hemlok",0,0,0
"","mp_weapon_rspn101",0,0,0
"","mp_weapon_energy_ar",0,0,0
"","mp_weapon_esaw",0,0,0
"","mp_weapon_lmg",0,0,0
"","mp_weapon_g2",0,0,0
"","mp_weapon_dmr",0,0,0
"","mp_weapon_doubletake",0,0,0
"","mp_weapon_defender",0,0,0
"","mp_weapon_sentinel",0,0,0
"","mp_weapon_volt_smg",0,0,0
"","mp_weapon_nemesis",0,0,0
"","mp_weapon_bow",0,0,0
"","",0,0,0
"Weapon_Low","",0,1,0
"","mp_weapon_wingman",5,0,0
"","mp_weapon_semipistol",10,0,0
"","mp_weapon_autopistol_fusion",9,0,0
"","mp_weapon_shotgun_pistol",12,0,0
"","mp_weapon_shotgun",5,0,0
"","mp_weapon_energy_shotgun",3,0,0
"","mp_weapon_mastiff",5,0,0
"","mp_weapon_alternator_smg",10,0,0
"","mp_weapon_r97",4,0,0
"","mp_weapon_pdw",5,0,0
"","mp_weapon_vinson",5,0,0
"","mp_weapon_auto_hemlok",5,0,0
"","mp_weapon_rspn101",5,0,0
"","mp_weapon_energy_ar",5,0,0
"","mp_weapon_esaw",1,0,0
"","mp_weapon_lmg",3,0,0
"","mp_weapon_g2",3,0,0
"","mp_weapon_dmr",2,0,0
"","mp_weapon_doubletake",3,0,0
"","mp_weapon_defender",2,0,0
"","mp_weapon_sentinel",2,0,0
"","mp_weapon_volt_smg",4,0,0
"","mp_weapon_bow",3,0,0
"","mp_weapon_dragon_lmg",3,0,0
"","mp_weapon_car",4,0,0
"","mp_weapon_nemesis",5,0,0
"","",0,0,0
"Weapon_Medium","",0,2,0
"","mp_weapon_wingman",5,0,0
"","mp_weapon_semipistol",9,0,0
"","mp_weapon_autopistol_fusion",9,0,0
"","mp_weapon_shotgun_pistol",10,0,0
"","mp_weapon_shotgun",5,0,0
"","mp_weapon_energy_shotgun",3,0,0
"","mp_weapon_mastiff",3,0,0
"","mp_weapon_alternator_smg",9,0,0
"","mp_weapon_r97",6,0,0
"","mp_weapon_pdw",6,0,0
"","mp_weapon_vinson",5,0,0
"","mp_weapon_auto_hemlok",5,0,0
"","mp_weapon_rspn101",5,0,0
"","mp_weapon_energy_ar",5,0,0
"","mp_weapon_esaw",2,0,0
"","mp_weapon_lmg",4,0,0
"","mp_weapon_g2",4,0,0
"","mp_weapon_dmr",3,0,0
"","mp_weapon_defender",3,0,0
"","mp_weapon_doubletake",4,0,0
"","mp_weapon_sentinel",3,0,0
"","mp_weapon_volt_smg",6,0,0
"","mp_weapon_bow",4,0,0
"","mp_weapon_dragon_lmg",4,0,0
"","mp_weapon_car",6,0,0
"","mp_weapon_nemesis",5,0,0
"","",0,0,0
"Weapon_High","",0,3,0
"","mp_weapon_wingman",4,0,0
"","mp_weapon_semipistol",8,0,0
"","mp_weapon_autopistol_fusion",7,0,0
"","mp_weapon_shotgun_pistol",10,0,0
"","mp_weapon_shotgun",5,0,0
"","mp_weapon_energy_shotgun",5,0,0
"","mp_weapon_mastiff",3,0,0
"","mp_weapon_alternator_smg",8,0,0
"","mp_weapon_r97",4,0,0
"","mp_weapon_pdw",4,0,0
"","mp_weapon_vinson",5,0,0
"","mp_weapon_auto_hemlok",5,0,0
"","mp_weapon_rspn101",5,0,0
"","mp_weapon_energy_ar",5,0,0
"","mp_weapon_esaw",2,0,0
"","mp_weapon_lmg",4,0,0
"","mp_weapon_g2",4,0,0
"","mp_weapon_dmr",2,0,0
"","mp_weapon_defender",3,0,0
"","mp_weapon_doubletake",4,0,0
"","mp_weapon_sentinel",3,0,0
"","mp_weapon_volt_smg",4,0,0
"","mp_weapon_bow",5,0,0
"","mp_weapon_dragon_lmg",5,0,0
"","mp_weapon_car",5,0,0
"","mp_weapon_nemesis",5,0,0
"","",0,0,0
"augments","",0,2,0
// entry disabled in survival_loot: "","augment_infinite_ammo",8,0,0
// entry disabled in survival_loot: "","augment_battery_printer",28,0,0
// entry disabled in survival_loot: "","augment_heal_overflow",28,0,0
// entry disabled in survival_loot: "","augment_legend_expert",28,0,0
// entry disabled in survival_loot: "","augment_armor_overflow",8,0,0
"","",0,0,0
"augments_post_reset","",0,0,0
// entry disabled in survival_loot: "","augment_infinite_ammo",5,0,0
// entry disabled in survival_loot: "","augment_battery_printer",5,0,0
// entry disabled in survival_loot: "","augment_heal_overflow",5,0,0
// entry disabled in survival_loot: "","augment_legend_expert",5,0,0
// entry disabled in survival_loot: "","augment_armor_overflow",5,0,0
"","",0,0,0
"augments_support","",0,0,0
// entry disabled in survival_loot: "","augment_battery_printer",5,0,0
// entry disabled in survival_loot: "","augment_heal_overflow",5,0,0
"","",0,0,0
"augments_support_post_reset","",0,0,0
// entry disabled in survival_loot: "","augment_battery_printer",5,0,0
// entry disabled in survival_loot: "","augment_heal_overflow",5,0,0
"","",0,0,0
"augments_assault","",0,0,0
// entry disabled in survival_loot: "","augment_armor_overflow",1,0,0
// entry disabled in survival_loot: "","augment_infinite_ammo",1,0,0
// entry disabled in survival_loot: "","augment_legend_expert",5,0,0
"","",0,0,0
"augments_assault_post_reset","",0,0,0
// entry disabled in survival_loot: "","augment_armor_overflow",3,0,0
// entry disabled in survival_loot: "","augment_infinite_ammo",5,0,0
// entry disabled in survival_loot: "","augment_legend_expert",5,0,0
"","",0,0,0
"augments_gold_bin","",0,0,0
// entry disabled in survival_loot: "","augment_infinite_ammo",5,0,0
// entry disabled in survival_loot: "","augment_battery_printer",2,0,0
// entry disabled in survival_loot: "","augment_heal_overflow",2,0,0
// entry disabled in survival_loot: "","augment_legend_expert",2,0,0
// entry disabled in survival_loot: "","augment_armor_overflow",5,0,0
"","",0,0,0
"ammo","",0,0,0
"","bullet",26,0,0
"","shotgun",6,0,0
"","highcal",28,0,0
"","special",23,0,0
"","sniper",17,0,0
"","",0,0,0
"Health_Small","",0,0,0
"","health_pickup_health_small",42,0,0
"","health_pickup_combo_small",58,0,0
"","",0,0,0
"Health_Large","",0,0,0
"","health_pickup_combo_full",11,0,0
"","health_pickup_combo_large",48,0,0
"","health_pickup_health_large",41,0,0
"","",0,0,0
"Health_Low","",0,1,0
"","health_pickup_combo_full",3,0,0
"","health_pickup_health_small",33,0,0
"","health_pickup_combo_small",45,0,0
"","health_pickup_combo_large",10,0,0
"","health_pickup_health_large",9,0,0
"","",0,0,0
"Health_Medium","",0,2,0
"","health_pickup_combo_full",3,0,0
"","health_pickup_health_small",30,0,0
"","health_pickup_combo_small",40,0,0
"","health_pickup_combo_large",14,0,0
"","health_pickup_health_large",13,0,0
"","",0,0,0
"Health_High","",0,3,0
"","health_pickup_combo_full",6,0,0
"","health_pickup_health_small",28,0,0
"","health_pickup_combo_small",39,0,0
"","health_pickup_combo_large",14,0,0
"","health_pickup_health_large",13,0,0
"","",0,0,0
"Health_1","",0,1,0
"","health_pickup_combo_small",75,0,0
"","health_pickup_health_small",25,0,0
"","",0,0,0
"Health_2","",0,2,0
"","health_pickup_combo_large",75,0,0
"","health_pickup_health_large",25,0,0
"","",0,0,0
"Health_3","",0,3,0
"","health_pickup_combo_full",100,0,0
"","",0,0,0
"ordnance","",0,0,0
"","mp_weapon_thermite_grenade",30,0,0
"","mp_weapon_frag_grenade",30,0,0
"","mp_weapon_grenade_emp",30,0,0
"","health_pickup_ultimate",3,0,0
"","",0,0,0
"ordnance_drops","",0,0,0
"","mp_weapon_thermite_grenade",40,0,0
"","mp_weapon_frag_grenade",40,0,0
"","mp_weapon_grenade_emp",20,0,0
"","",0,0,0
"Attachment_Optics","",0,0,0
"","optic_cq_hcog_classic",10,0,0
"","optic_cq_hcog_bruiser",4,0,0
"","optic_cq_holosight_variable",2,0,0
"","optic_ranged_hcog",3,0,0
"","optic_ranged_aog_variable",2,0,0
"","optic_sniper",2,0,0
"","optic_sniper_variable",2,0,0
"","",0,0,0
"Attachment_Low","",0,1,0
"","Attachment_Optics",25,0,0
"","Attachment_L1",47,0,0
"","Attachment_L2",25,0,0
"","Attachment_L3",3,0,0
"","Attachment_L4",0,0,0
"","corrupted_attachments",1,0,0
"","",0,0,0
"Attachment_Medium","",0,1,0
"","Attachment_Optics",25,0,0
"","Attachment_L1",40,0,0
"","Attachment_L2",30,0,0
"","Attachment_L3",5,0,0
"","Attachment_L4",0,0,0
"","corrupted_attachments",1.5,0,0
"","",0,0,0
"Attachment_High","",0,1,0
