"attachmentName","attachmentPoint","mp_weapon_sniper","mp_weapon_mastiff","mp_weapon_lstar","mp_weapon_lstar_crate","mp_weapon_energy_ar","mp_weapon_rocket_launcher","mp_weapon_esaw","mp_weapon_doubletake","mp_weapon_vinson","mp_weapon_hemlok","mp_weapon_auto_hemlok","mp_weapon_g2","mp_weapon_g2_crate","mp_weapon_alternator_smg","mp_weapon_r97","mp_weapon_pdw","mp_weapon_volt_smg","mp_weapon_dmr","mp_weapon_defender","mp_weapon_lmg","mp_weapon_rspn101","mp_weapon_shotgun","mp_weapon_shotgun_pistol","mp_weapon_wingman","mp_weapon_semipistol","mp_weapon_autopistol","mp_weapon_energy_shotgun","mp_weapon_sentinel","mp_weapon_bow","mp_weapon_epg","mp_weapon_3030","mp_weapon_3030_crate","mp_weapon_dragon_lmg","mp_weapon_car","mp_weapon_nemesis","mp_weapon_autopistol_fusion","mp_weapon_throwing_knife"
"laser_sight_l2","barrel",false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,true,false,true,false
"laser_sight_l3","barrel",false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,true,false,true,false
"laser_sight_l4","barrel",false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,true,false,true,false
"barrel_stabilizer_l1","barrel",false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false
"barrel_stabilizer_l2","barrel",false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false
"barrel_stabilizer_l3","barrel",false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false
"barrel_hemlok_elite","barrel",false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"bullets_mag_l1","mag",false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false
"bullets_mag_l2","mag",false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false
"bullets_mag_l3","mag",false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false
"bullets_mag_l4","mag",false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false
"highcal_mag_l1","mag",false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false
"highcal_mag_l2","mag",false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false
"highcal_mag_l3","mag",false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false
"highcal_mag_l4","mag",false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false
"energy_mag_l1","mag",false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false
"energy_mag_l2","mag",false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false
"energy_mag_l3","mag",false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false
"energy_mag_l4","mag",false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false
"sniper_mag_l1","mag",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false
"sniper_mag_l2","mag",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false
"sniper_mag_l3","mag",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false
"sniper_mag_l4","mag",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false
"shotgun_bolt_l1","mag",false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false
"shotgun_bolt_l2","mag",false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false
"shotgun_bolt_l3","mag",false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false
"shotgun_bolt_l4","mag",false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false
"stock_tactical_l1","grip",false,true,true,true,true,false,true,false,true,true,true,false,false,true,true,true,true,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,true,true,true,false,false
"stock_tactical_l2","grip",false,true,true,true,true,false,true,false,true,true,true,false,false,true,true,true,true,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,true,true,true,false,false
"stock_tactical_l3","grip",false,true,true,true,true,false,true,false,true,true,true,false,false,true,true,true,true,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,true,true,true,false,false
"stock_sniper_l1","grip",false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,false
"stock_sniper_l2","grip",false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,false
"stock_sniper_l3","grip",false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,false
"stock_sniper_l4","grip",false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,false
"hopup_turbocharger","hopup hopupMulti_b",false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
"dormant_hopup_turbocharger","hopup",false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
"hopup_selectfire","hopup hopupMulti_a",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"dormant_hopup_selectfire","hopup",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_energy_choke","hopup",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
"hopup_headshot_dmg","hopup hopupMulti_a",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"dormant_hopup_headshot_dmg","hopup",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_headshot_dmg_elite","hopup hopupMulti_a",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_headshot_dmg_elite_ghorse","hopup hopupMulti_a",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_shield_breaker","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"dormant_hopup_shield_breaker","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_unshielded_dmg","hopup hopupMulti_a",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
"dormant_hopup_unshielded_dmg","hopup hopupMulti_a",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
"dormant_hopup_highcal_rounds","hopup",false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_double_tap","hopup hopupMulti_a",false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"dormant_hopup_double_tap","hopup",false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_paintball","hopup",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"paintball","hopup",false,true,false,false,false,false,false,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,false,false,false
"hopup_marksmans_tempo","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_quickdraw_holster","hopup",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"dormant_hopup_quickdraw_holster","hopup",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_shatter_rounds","hopup hopupMulti_a",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
"hopup_smart_reload","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_dual_loader","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"dormant_hopup_dual_loader","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_kinetic_loader","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_gunshield","hopup hopupMulti_a",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"dormant_hopup_gunshield","hopup",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_ultimate_accelerator","hopup hopupMulti_b",false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,false
"dormant_hopup_ultimate_accelerator","hopup",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_paintball_elite","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"dormant_hopup_paintball_elite","hopup",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_executioner","hopup",false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"dormant_hopup_executioner","hopup",false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"pro_screen","",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_golden_horse_blue","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_golden_horse_green","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_golden_horse_yellow","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_golden_horse_purple","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_golden_horse_red","hopup hopupMulti_b",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_brand_weapon_takeover","hopup hopupMulti_a",false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_mythicset_vinson","hopup",false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_sonar_pulse","hopup",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_car_crate","hopup",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"hopup_lstar_crate","hopup",false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"corrupted_mag","mag",false,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,false,false,true,true,true,false,true,false,false,true,true,true,false,true,true,false
"corrupted_barrel","barrel",false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false
"corrupted_laser","barrel",false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false
"corrupted_tactical_stock","grip",false,true,true,true,true,false,true,false,true,true,true,false,false,false,true,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false
"corrupted_stock_sniper","grip",false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false
"string","string","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool"
