"isDisabled","ref","type","baseWeapon","baseMods","supportedAttachments","lootTags","startingLevel","tier","pingCommsAction","fakeAmmoIcon","icon","pickupModel","skinOverride","attachSound","pickupSound_1p","pickupSound_3p","carrySound","pickupString","desc","countPerDrop","inventorySlotCount","netInt","passive","endorsementRef","minPVPCurrency","maxPVPCurrency","scrapValue","droppodRotate","conditional","isDynamic","pretendsToBeBlank","floorSpawnCategory","restrictFromSling","hideFromDeathbox","hideFromBlackMarket","requestCommsAction","cosmeticSkinOverride","brandAsset","collabCharacter"
false,"mp_weapon_esaw_purpleset","main_weapon","mp_weapon_esaw","optic_cq_hcog_bruiser energy_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","sight mag barrel grip","lmg purpleset",0,3,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_esaw_gold","main_weapon","mp_weapon_esaw","optic_cq_hcog_bruiser energy_mag_l3 barrel_stabilizer_l3 stock_tactical_l3 hopup_turbocharger","sight mag barrel grip hopup","lmg gold",0,4,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_doubletake","main_weapon","","hopup_energy_choke choke","sight mag grip","marksman",0,1,"PING_WEAPON_TRIPLETAKE","","","",0,"","survival_loot_pickup_weapon_doubletake","survival_loot_pickup_3p_weapon_doubletake","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_doubletake_crate","main_weapon","","crate hopup_gunshield hopup_energy_choke choke optic_ranged_aog_variable energy_mag_l3 stock_sniper_l3","sight hopup","marksman",0,5,"PING_WEAPON_TRIPLETAKE","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_doubletake","survival_loot_pickup_3p_weapon_doubletake","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_doubletake_whiteset","main_weapon","mp_weapon_doubletake","hopup_energy_choke choke optic_cq_hcog_classic energy_mag_l1 stock_sniper_l1","sight mag grip","marksman whiteset",0,1,"PING_WEAPON_TRIPLETAKE","","","",0,"","survival_loot_pickup_weapon_doubletake","survival_loot_pickup_3p_weapon_doubletake","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_doubletake_blueset","main_weapon","mp_weapon_doubletake","hopup_energy_choke choke optic_ranged_aog_variable energy_mag_l2 stock_sniper_l2","sight mag grip","marksman blueset",0,2,"PING_WEAPON_TRIPLETAKE","","","",0,"","survival_loot_pickup_weapon_doubletake","survival_loot_pickup_3p_weapon_doubletake","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_doubletake_purpleset","main_weapon","mp_weapon_doubletake","hopup_energy_choke choke optic_ranged_aog_variable energy_mag_l3 stock_sniper_l3","sight mag grip","marksman purpleset",0,3,"PING_WEAPON_TRIPLETAKE","","","",0,"","survival_loot_pickup_weapon_doubletake","survival_loot_pickup_3p_weapon_doubletake","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_doubletake_gold","main_weapon","mp_weapon_doubletake","hopup_energy_choke hopup_ultimate_accelerator choke optic_ranged_aog_variable energy_mag_l3 stock_sniper_l3","sight mag grip hopup","marksman gold",0,4,"PING_WEAPON_TRIPLETAKE","","","",0,"","survival_loot_pickup_weapon_doubletake","survival_loot_pickup_3p_weapon_doubletake","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_vinson","main_weapon","","","sight mag grip","assault",0,1,"PING_WEAPON_FLATLINE","","","",0,"","survival_loot_pickup_weapon_vinson","survival_loot_pickup_3p_weapon_vinson","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_vinson_crate","main_weapon","","crate optic_cq_hcog_bruiser highcal_mag_l3 stock_tactical_l3","sight mag grip","assault",0,5,"PING_WEAPON_FLATLINE","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_vinson","survival_loot_pickup_3p_weapon_vinson","","","",1,1,"","","",0,0,20,false,false,false,false,"EVENT",false,false,false,"","","",""
false,"mp_weapon_vinson_whiteset","main_weapon","mp_weapon_vinson","optic_cq_hcog_classic highcal_mag_l1 stock_tactical_l1","sight mag grip","assault whiteset",0,1,"PING_WEAPON_FLATLINE","","","",0,"","survival_loot_pickup_weapon_vinson","survival_loot_pickup_3p_weapon_vinson","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_vinson_blueset","main_weapon","mp_weapon_vinson","optic_cq_hcog_bruiser highcal_mag_l2 stock_tactical_l2","sight mag grip","assault blueset",0,2,"PING_WEAPON_FLATLINE","","","",0,"","survival_loot_pickup_weapon_vinson","survival_loot_pickup_3p_weapon_vinson","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_vinson_purpleset","main_weapon","mp_weapon_vinson","optic_cq_hcog_bruiser highcal_mag_l3 stock_tactical_l3","sight mag grip","assault purpleset",0,3,"PING_WEAPON_FLATLINE","","","",0,"","survival_loot_pickup_weapon_vinson","survival_loot_pickup_3p_weapon_vinson","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_vinson_gold","main_weapon","mp_weapon_vinson","optic_cq_hcog_bruiser highcal_mag_l3 stock_tactical_l3","sight mag grip","assault gold",0,4,"PING_WEAPON_FLATLINE","","","",0,"","survival_loot_pickup_weapon_vinson","survival_loot_pickup_3p_weapon_vinson","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_hemlok","main_weapon","","","sight mag barrel grip","assault",0,1,"PING_WEAPON_HEMLOK","","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_hemlok_crate","main_weapon","","crate optic_cq_hcog_bruiser highcal_mag_l3 stock_tactical_l3 hopup_smart_reload hopup_gunshield barrel_stabilizer_l3","sight hopupMulti_a hopupMulti_b","assault",0,5,"PING_WEAPON_HEMLOK","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_hemlok_whiteset","main_weapon","mp_weapon_hemlok","optic_cq_hcog_classic highcal_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","sight mag barrel grip","assault whiteset",0,1,"PING_WEAPON_HEMLOK","","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_hemlok_blueset","main_weapon","mp_weapon_hemlok","optic_cq_hcog_bruiser highcal_mag_l2 barrel_stabilizer_l2 stock_tactical_l2","sight mag barrel grip","assault blueset",0,2,"PING_WEAPON_HEMLOK","","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_hemlok_purpleset","main_weapon","mp_weapon_hemlok","optic_cq_hcog_bruiser highcal_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","sight mag barrel grip","assault purpleset",0,3,"PING_WEAPON_HEMLOK","","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_hemlok_gold","main_weapon","mp_weapon_hemlok","optic_cq_hcog_bruiser highcal_mag_l3 barrel_stabilizer_l3 stock_tactical_l3 hopup_ultimate_accelerator","sight mag barrel grip hopup","assault gold",0,4,"PING_WEAPON_HEMLOK","","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_auto_hemlok","main_weapon","","barrel_hemlok_elite hopup_brand_weapon_takeover","sight mag barrel grip hopup","assault",0,1,"PING_WEAPON_HEMLOK","","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_auto_hemlok_crate","main_weapon","","crate barrel_hemlok_elite optic_cq_hcog_bruiser highcal_mag_l3 stock_tactical_l3 hopup_gunshield","sight barrel hopupMulti_a","assault",0,5,"PING_WEAPON_HEMLOK","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"EVENT",false,false,false,"","","",""
false,"mp_weapon_auto_hemlok_whiteset","main_weapon","mp_weapon_auto_hemlok","optic_cq_hcog_classic highcal_mag_l1 stock_tactical_l1 barrel_hemlok_elite hopup_brand_weapon_takeover","sight mag barrel grip hopup","assault whiteset",0,1,"PING_WEAPON_HEMLOK","","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_auto_hemlok_blueset","main_weapon","mp_weapon_auto_hemlok","optic_cq_hcog_bruiser highcal_mag_l2 stock_tactical_l2 barrel_hemlok_elite hopup_brand_weapon_takeover","sight mag barrel grip hopup","assault blueset",0,2,"PING_WEAPON_HEMLOK","","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_auto_hemlok_purpleset","main_weapon","mp_weapon_auto_hemlok","optic_cq_hcog_bruiser highcal_mag_l3 stock_tactical_l3 barrel_hemlok_elite hopup_brand_weapon_takeover","sight mag barrel grip hopup","assault purpleset",0,3,"PING_WEAPON_HEMLOK","","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_auto_hemlok_gold","main_weapon","mp_weapon_auto_hemlok","optic_cq_hcog_bruiser highcal_mag_l3 stock_tactical_l3 barrel_hemlok_elite hopup_ultimate_accelerator hopup_brand_weapon_takeover","sight mag barrel grip hopupMulti_b","assault gold",0,4,"PING_WEAPON_HEMLOK","","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_g2","main_weapon","","","sight mag barrel grip","marksman",0,1,"PING_WEAPON_G7","","","",0,"","survival_loot_pickup_weapon_g2","survival_loot_pickup_3p_weapon_g2","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_g2_crate","main_weapon","","crate optic_ranged_hcog bullets_mag_l3 barrel_stabilizer_l3 stock_sniper_l3 hopup_double_tap altfire_double_tap","sight hopup","marksman",0,5,"PING_WEAPON_G7","rui/hud/gametype_icons/survival/sur_ammo_unique","","",0,"","survival_loot_pickup_weapon_g2","survival_loot_pickup_3p_weapon_g2","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_g2_whiteset","main_weapon","mp_weapon_g2","optic_cq_hcog_classic bullets_mag_l1 barrel_stabilizer_l1 stock_sniper_l1","sight mag barrel grip","marksman whiteset",0,1,"PING_WEAPON_G7","","","",0,"","survival_loot_pickup_weapon_g2","survival_loot_pickup_3p_weapon_g2","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_g2_blueset","main_weapon","mp_weapon_g2","optic_cq_hcog_bruiser bullets_mag_l2 barrel_stabilizer_l2 stock_sniper_l2","sight mag barrel grip","marksman blueset",0,2,"PING_WEAPON_G7","","","",0,"","survival_loot_pickup_weapon_g2","survival_loot_pickup_3p_weapon_g2","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_g2_purpleset","main_weapon","mp_weapon_g2","optic_ranged_aog_variable bullets_mag_l3 barrel_stabilizer_l3 stock_sniper_l3","sight mag barrel grip","marksman purpleset",0,3,"PING_WEAPON_G7","","","",0,"","survival_loot_pickup_weapon_g2","survival_loot_pickup_3p_weapon_g2","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_g2_gold","main_weapon","mp_weapon_g2","optic_ranged_aog_variable bullets_mag_l3 barrel_stabilizer_l3 stock_sniper_l3 hopup_ultimate_accelerator","sight mag barrel grip hopup","marksman gold",0,4,"PING_WEAPON_G7","","","",0,"","survival_loot_pickup_weapon_g2","survival_loot_pickup_3p_weapon_g2","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_alternator_smg","main_weapon","","dormant_hopup_double_tap","sight mag barrel grip hopup","smg",0,1,"PING_WEAPON_ALTERNATOR","","","",0,"","survival_loot_pickup_weapon_alternator_smg","survival_loot_pickup_3p_weapon_alternator_smg","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_alternator_smg_crate","main_weapon","","crate optic_cq_threat bullets_mag_l3 laser_sight_l3 stock_tactical_l3 hopup_shield_breaker hopup_double_tap","sight hopupMulti_a hopupMulti_b","smg",0,5,"PING_WEAPON_ALTERNATOR","rui/hud/gametype_icons/survival/sur_ammo_unique","","",0,"","survival_loot_pickup_weapon_alternator_smg","survival_loot_pickup_3p_weapon_alternator_smg","","","",1,1,"","","",0,0,20,false,false,false,false,"EVENT",false,false,false,"","","",""
false,"mp_weapon_alternator_smg_whiteset","main_weapon","mp_weapon_alternator_smg","optic_cq_hcog_classic bullets_mag_l1 laser_sight_l1 stock_tactical_l1","sight mag barrel grip","smg whiteset",0,1,"PING_WEAPON_ALTERNATOR","","","",0,"","survival_loot_pickup_weapon_alternator_smg","survival_loot_pickup_3p_weapon_alternator_smg","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_alternator_smg_blueset","main_weapon","mp_weapon_alternator_smg","optic_cq_hcog_classic bullets_mag_l2 laser_sight_l2 stock_tactical_l2","sight mag barrel grip","smg blueset",0,2,"PING_WEAPON_ALTERNATOR","","","",0,"","survival_loot_pickup_weapon_alternator_smg","survival_loot_pickup_3p_weapon_alternator_smg","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_alternator_smg_purpleset","main_weapon","mp_weapon_alternator_smg","optic_cq_hcog_classic bullets_mag_l3 laser_sight_l3 stock_tactical_l3","sight mag barrel grip","smg purpleset",0,3,"PING_WEAPON_ALTERNATOR","","","",0,"","survival_loot_pickup_weapon_alternator_smg","survival_loot_pickup_3p_weapon_alternator_smg","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_alternator_smg_gold","main_weapon","mp_weapon_alternator_smg","optic_cq_hcog_classic bullets_mag_l3 laser_sight_l3 stock_tactical_l3 hopup_double_tap altfire_double_tap","sight mag barrel grip hopup","smg gold",0,4,"PING_WEAPON_ALTERNATOR","","","",0,"","survival_loot_pickup_weapon_alternator_smg","survival_loot_pickup_3p_weapon_alternator_smg","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_r97","main_weapon","","","sight mag barrel grip","smg",0,1,"PING_WEAPON_R97","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_r97_whiteset","main_weapon","mp_weapon_r97","optic_cq_hcog_classic bullets_mag_l1 laser_sight_l1 stock_tactical_l1","sight mag barrel grip","smg whiteset",0,1,"PING_WEAPON_R97","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_r97_blueset","main_weapon","mp_weapon_r97","optic_cq_hcog_classic bullets_mag_l2 laser_sight_l2 stock_tactical_l2","sight mag barrel grip","smg blueset",0,2,"PING_WEAPON_R97","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_r97_purpleset","main_weapon","mp_weapon_r97","optic_cq_hcog_classic bullets_mag_l3 laser_sight_l3 stock_tactical_l3","sight mag barrel grip","smg purpleset",0,3,"PING_WEAPON_R97","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_r97_gold","main_weapon","mp_weapon_r97","optic_cq_hcog_classic bullets_mag_l3 laser_sight_l3 stock_tactical_l3 hopup_ultimate_accelerator","sight mag barrel grip hopup","smg gold",0,4,"PING_WEAPON_R97","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_r97_crate","main_weapon","","crate optic_cq_hcog_classic bullets_mag_l3 laser_sight_l3 stock_tactical_l3","sight","smg",0,5,"PING_WEAPON_R97","rui/hud/gametype_icons/survival/sur_ammo_unique","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
